,jobId,state
678,39315659,Victoria
679,39316966,New South Wales
680,39317492,New South Wales
681,39320277,New South Wales
682,39320844,New South Wales
683,39322804,New South Wales
684,39324746,Queensland
685,39329480,Queensland
686,39330738,Victoria
687,39342760,Victoria
688,39347283,Queensland
689,39351401,New South Wales
690,39351643,New South Wales
691,39352603,New South Wales
692,39353101,Victoria
693,39353950,New South Wales
694,39357960,Western Australia
695,39359556,Western Australia
696,39360011,New South Wales
697,39362977,Victoria
698,39364101,New South Wales
699,39365437,New South Wales
700,39368506,Victoria
701,39371825,Victoria
702,39372682,New South Wales
703,39372903,New South Wales
704,39372927,Victoria
705,39372972,New South Wales
706,39373284,New South Wales
707,39374197,Victoria
708,39377012,New South Wales
709,39382265,South Australia
710,39386725,Victoria
711,39388340,Victoria
712,39388606,Western Australia
713,39391818,New South Wales
714,39400798,Victoria
715,39402583,Victoria
716,39402734,Victoria
717,39403274,Western Australia
718,39410828,New South Wales
719,39413439,Western Australia
720,39414041,New South Wales
721,39414055,New South Wales
722,39414056,Victoria
723,39421100,Victoria
724,39424514,Victoria
725,39424515,Victoria
726,39427602,Queensland
727,39428384,Victoria
728,39433699,New South Wales
729,39435417,New South Wales
730,39435522,Victoria
731,39438096,Victoria
732,39438979,New South Wales
733,39440603,New South Wales
734,39441014,New South Wales
735,39443104,New South Wales
736,39443418,Victoria
737,39443952,New South Wales
738,39450245,Australian Capital Territory
739,39450246,Australian Capital Territory
740,39450247,Australian Capital Territory
741,39450248,Australian Capital Territory
742,39454733,New South Wales
743,39454967,New South Wales
744,39455260,New South Wales
745,39458124,New South Wales
746,39462282,Australian Capital Territory
747,39462317,New South Wales
748,39462327,Victoria
749,39464141,New South Wales
750,39464148,New South Wales
751,39470051,New South Wales
752,39471655,New South Wales
753,39476345,New South Wales
754,39479722,New South Wales
755,39486348,New South Wales
756,39486485,Queensland
757,39487481,Queensland
758,39487835,South Australia
759,39490627,New South Wales
760,39493101,Western Australia
761,39499015,New South Wales
762,39502400,Western Australia
763,39504971,New South Wales
764,39505011,New South Wales
765,39506145,New South Wales
766,39510597,Queensland
767,39511376,Victoria
768,39512167,Victoria
769,39514228,New South Wales
770,39516156,New South Wales
771,39522619,New South Wales
772,39526651,Victoria
773,39526953,Western Australia
774,39527902,New South Wales
775,39528038,New South Wales
776,39530400,New South Wales
777,39532015,New South Wales
778,39534780,New South Wales
779,39539616,Victoria
780,39540960,New South Wales
781,39541036,South Australia
782,39541442,Victoria
783,39546289,New South Wales
784,39547287,Victoria
785,39547865,New South Wales
786,39547958,Victoria
787,39548265,Western Australia
788,39552271,New South Wales
789,39552760,New South Wales
790,39554259,Victoria
791,39554532,Victoria
792,39555876,New South Wales
793,39555877,New South Wales
794,39561937,New South Wales
795,39566918,Victoria
796,39579171,New South Wales
797,39579517,New South Wales
798,39581453,New South Wales
799,39582387,New South Wales
800,39582950,New South Wales
801,39588910,New South Wales
802,39589319,New South Wales
803,39594690,New South Wales
804,39595029,New South Wales
805,39597982,New South Wales
806,39604478,Western Australia
807,39608595,Western Australia
808,39609811,New South Wales
809,39610260,Victoria
810,39610701,New South Wales
811,39611970,New South Wales
812,39618050,Victoria
813,39618066,Victoria
814,39618787,Western Australia
815,39623591,New South Wales
816,39625838,New South Wales
817,39632338,Victoria
818,39633287,Queensland
819,39633381,New South Wales
820,39636499,Queensland
821,39637531,New South Wales
822,39639171,New South Wales
823,39641804,New South Wales
824,39646460,New South Wales
825,39647567,Western Australia
826,39649593,Queensland
827,39655904,Victoria
828,39658326,Western Australia
829,39662401,South Australia
830,39662563,South Australia
831,39663151,New South Wales
832,39663335,South Australia
833,39663471,South Australia
834,39667077,South Australia
835,39670361,New South Wales
836,39671892,New South Wales
837,39679266,South Australia
838,39679967,Victoria
839,39687245,South Australia
840,39688562,New South Wales
841,39689196,New South Wales
842,39694821,Australian Capital Territory
843,39694822,Australian Capital Territory
844,39695678,Western Australia
845,39698445,New South Wales
846,39705237,New South Wales
847,39705392,New South Wales
848,39705397,Victoria
849,39708791,South Australia
850,39709962,New South Wales
851,39714828,New South Wales
852,39715110,New South Wales
853,39715111,Victoria
854,39715761,Victoria
855,39716585,Victoria
856,39718591,Victoria
857,39719426,Victoria
858,39721130,Western Australia
859,39722404,New South Wales
860,39722544,Victoria
861,39722545,Victoria
862,39722844,Victoria
863,39724164,New South Wales
864,39724757,New South Wales
865,39725532,Queensland
866,39726579,Queensland
867,39727047,New South Wales
868,39727647,New South Wales
869,39727665,New South Wales
870,39728226,New South Wales
871,39728543,New South Wales
872,39734886,Victoria
873,39735894,New South Wales
874,39737771,New South Wales
875,39742244,Western Australia
876,39744582,Western Australia
877,39746982,Queensland
878,39747671,New South Wales
879,39748267,New South Wales
880,39748473,New South Wales
881,39749523,Victoria
882,39749532,Queensland
883,39749542,New South Wales
884,39749671,Victoria
885,39752337,New South Wales
886,39752938,New South Wales
887,39764688,Queensland
888,39767681,South Australia
889,39772369,Queensland
890,39773596,New South Wales
891,39773731,New South Wales
892,39777067,New South Wales
893,39777806,Victoria
894,39783711,Queensland
895,39784320,UK & Ireland
896,39788340,Australian Capital Territory
897,39789450,Queensland
898,39791917,Victoria
899,39792182,Australian Capital Territory
900,39792333,New South Wales
901,39798278,New South Wales
902,39799572,Victoria
903,39806316,New South Wales
904,39808480,Western Australia
905,39808661,Victoria
906,39809970,New South Wales
907,39812212,Victoria
908,39813042,New South Wales
909,39814844,Queensland
910,39815654,Queensland
911,39818511,Victoria
912,39822769,Western Australia
913,39824008,New South Wales
914,39827186,Victoria
915,39827861,Victoria
916,39828488,Western Australia
917,39829827,Australian Capital Territory
918,39829828,Australian Capital Territory
919,39831418,New South Wales
920,39831850,New South Wales
921,39835014,Western Australia
922,39839274,Western Australia
923,39845243,Victoria
924,39846386,Queensland
925,39846748,New South Wales
926,39848926,New South Wales
927,39849654,New South Wales
928,39857207,Victoria
929,39858903,New South Wales
930,39859094,New South Wales
931,39861706,Western Australia
932,39866010,Australian Capital Territory
933,39866018,New South Wales
934,39866680,Western Australia
935,39866779,Western Australia
936,39866895,Western Australia
937,39867023,Australian Capital Territory
938,39867841,Western Australia
939,39867970,Western Australia
940,39868160,Western Australia
941,39868161,Australian Capital Territory
942,39868162,New South Wales
943,39868163,Queensland
944,39868164,Victoria
945,39870683,Australian Capital Territory
946,39870758,Australian Capital Territory
947,39873665,Victoria
948,39873826,Victoria
949,39874556,Victoria
950,39876769,New South Wales
951,39877843,Western Australia
952,39878151,Australian Capital Territory
953,39883354,Queensland
954,39883451,Queensland
955,39884387,New South Wales
956,39887253,New South Wales
957,39887761,New South Wales
958,39890072,Victoria
959,39891365,New South Wales
960,39893833,New South Wales
961,39894005,New South Wales
962,39895172,New South Wales
963,39899146,New South Wales
